scour_m,z_m,spring_type,k_FEM,k_ref,alpha_FEM,alpha_theory,ratio_FEM_theory,r_squared,n_regression_points
3.500000,-4.500000,k_py,7738.772116,17985.581802,0.430276,0.471405,0.912754,0.238678,5
3.500000,-5.000000,k_py,408.176414,5398.911809,0.075603,0.547723,0.138032,0.000299,5
3.500000,-5.500000,k_py,4590.978900,3024.927406,1.517715,0.603023,2.516846,0.008901,5
3.500000,-6.000000,k_py,11551.219270,4225.307160,2.733818,0.645497,4.235212,0.351626,5
3.500000,-6.500000,k_py,9071.607830,4739.202477,1.914163,0.679366,2.817572,0.120337,5
3.500000,-7.000000,k_py,1216.538343,338.970767,3.588918,0.707107,5.075497,0.015522,5
3.500000,-7.500000,k_py,20161.800313,2931.063182,6.878665,0.730297,9.418999,0.794125,5
3.500000,-8.000000,k_py,95.420982,779.710561,0.122380,0.750000,0.163173,0.000640,5
3.500000,-8.500000,k_py,8674.611470,2497.578120,3.473209,0.766965,4.528511,0.846854,5
3.500000,-9.000000,k_py,6455.968934,5942.928856,1.086328,0.781736,1.389635,0.287747,5
3.500000,0.000000,k_tz,0.000000,177.896511,0.000000,0.000000,,0.000000,0
3.500000,-0.500000,k_tz,843.097892,118.617695,7.107691,0.000000,,0.765801,5
3.500000,-1.000000,k_tz,638.197305,559.326370,1.141011,0.000000,,0.714165,5
3.500000,-1.500000,k_tz,372.463432,583.259125,0.638590,0.000000,,0.917039,5
3.500000,-2.000000,k_tz,0.000000,805.633652,0.000000,0.000000,,0.000000,0
3.500000,-2.500000,k_tz,975.274590,1818.548527,0.536293,0.000000,,0.913457,5
3.500000,-3.000000,k_tz,938.791713,1948.364277,0.481836,0.000000,,0.997621,5
3.500000,-3.500000,k_tz,377.507429,4054.277160,0.093113,0.000000,,0.617220,4
3.500000,-4.000000,k_tz,1527.943701,229.283817,6.663984,0.353553,18.848593,0.422232,5
3.500000,-4.500000,k_tz,143.798826,2721.425164,0.052840,0.471405,0.112090,0.024796,5
3.500000,-5.000000,k_tz,1677.240962,5656.199613,0.296531,0.547723,0.541390,0.258391,5
3.500000,-5.500000,k_tz,457.427818,1315.643811,0.347684,0.603023,0.576568,0.088370,5
3.500000,-6.000000,k_tz,1093.160266,4011.991303,0.272473,0.645497,0.422114,0.504820,5
3.500000,-6.500000,k_tz,1032.376131,1182.523335,0.873028,0.679366,1.285063,0.125418,5
3.500000,-7.000000,k_tz,3682.664187,6496.250382,0.566891,0.707107,0.801705,0.576008,5
3.500000,-7.500000,k_tz,4608.677276,6284.402756,0.733352,0.730297,1.004183,0.862949,5
3.500000,-8.000000,k_tz,3705.059809,4222.353288,0.877487,0.750000,1.169983,0.769763,5
3.500000,-8.500000,k_tz,689.427945,9558.657021,0.072126,0.766965,0.094041,0.033365,5
3.500000,-9.000000,k_tz,630.456930,3852.451674,0.163651,0.781736,0.209343,0.070662,5
4.000000,0.000000,k_py,0.000000,556.164761,0.000000,0.000000,,0.000000,0
4.000000,-0.500000,k_py,1580.733154,2285.306694,0.691694,0.000000,,0.580419,5
4.000000,-1.000000,k_py,5874.257740,1023.659653,5.738487,0.000000,,0.423321,5
4.000000,-1.500000,k_py,5371.236838,11446.153016,0.469261,0.000000,,0.686626,5
4.000000,-2.000000,k_py,4866.471338,7167.900097,0.678926,0.000000,,0.090580,5
4.000000,-2.500000,k_py,4830.743046,25.445010,189.850307,0.000000,,0.033104,5
4.000000,-3.000000,k_py,3684.923894,4295.612216,0.857834,0.000000,,0.029807,5
4.000000,-3.500000,k_py,2302.509666,10236.762820,0.224926,0.000000,,0.018346,5
4.000000,-4.000000,k_py,1779.076998,6379.349251,0.278881,0.000000,,0.284561,5
4.000000,-4.500000,k_py,3199.259642,17985.581802,0.177879,0.333333,0.533637,0.080354,5
4.000000,-5.000000,k_py,10531.043528,5398.911809,1.950586,0.447214,4.361644,0.274406,5
4.000000,-5.500000,k_py,26181.448470,3024.927406,8.655232,0.522233,16.573507,0.769725,5
4.000000,-6.000000,k_py,5152.738451,4225.307160,1.219494,0.577350,2.112226,0.090477,5
4.000000,-6.500000,k_py,14602.277803,4739.202477,3.081168,0.620174,4.968234,0.588821,5
4.000000,-7.000000,k_py,6854.438752,338.970767,20.221327,0.654654,30.888587,0.120765,5
4.000000,-7.500000,k_py,356.972707,2931.063182,0.121789,0.683130,0.178282,0.000677,5
4.000000,-8.000000,k_py,12397.614268,779.710561,15.900277,0.707107,22.486388,0.745042,5
4.000000,-8.500000,k_py,12233.179643,2497.578120,4.898017,0.727607,6.731680,0.768789,5
4.000000,-9.000000,k_py,5391.708298,5942.928856,0.907248,0.745356,1.217200,0.718473,5
