run,S_D,scour_m,su0,k_su,Hmax_kN,H_ratio,V_ratio,f1_Hz,f1_f0,fixity_proxy
70,0.0,0.0,11.195916960824013,12.343178384300696,16560.2578125,1.0,1.0,0.2598107523561883,0.9897781557736065,0.2923349349426866
71,0.0,0.0,17.568910830466542,18.156200515178007,23786.40625,1.0,1.0,0.26233571534811706,0.9993972850470618,0.2762949176677328
72,0.0,0.0,9.9440242313538,14.754252642075173,18767.486328125,1.0,1.0,0.26075790263815946,0.9933864308385455,0.2865328807751386
73,0.0,0.0,15.141230393357745,23.31137043885254,28934.12890625,1.0,1.0,0.26337307012674277,1.0033492042434755,0.2694972774031444
74,0.0,0.0,15.425657020058686,18.92371234803244,23070.005859375,1.0,1.0,0.2621436980847096,0.9986657737792312,0.2775969059587945
75,0.0,0.0,7.524581589843666,8.683047592167492,11532.2373046875,1.0,1.0,0.2563314853582541,0.9765234985224005,0.31289951694327744
76,0.0,0.0,27.766497635302247,14.275003916327302,22159.568359375,1.0,1.0,0.2619529891743306,0.997939246828777,0.2785590615813551
77,0.0,0.0,14.026555764701316,18.79049643167829,22948.048828125,1.0,1.0,0.2621068945143382,0.9985255664564867,0.27785995272142366
78,0.0,0.0,12.921281486619712,15.123318087887592,18285.171875,1.0,1.0,0.26058011206387405,0.9927091177360882,0.28757864359404683
79,0.0,0.0,15.216974442618914,20.53745716077305,25808.3359375,1.0,1.0,0.262784790302032,1.0011080863732544,0.2734039360796785
80,0.0,0.0,13.685229538664917,26.399534957215945,32061.888671875,1.0,1.0,0.2638481172234735,1.0051589493561919,0.2663114832314228
81,0.0,0.0,11.80184319032367,15.51166286180584,19781.24609375,1.0,1.0,0.261140177623241,0.9948427502029329,0.28407822776781405
82,0.0,0.0,16.089440171440035,14.461095282769776,19570.72265625,1.0,1.0,0.2610898938259076,0.9946511884460056,0.28427730645582067
83,0.0,0.0,18.401962243612104,27.35828323820084,33749.9453125,1.0,1.0,0.2640818664003363,1.0060494430216413,0.2646624848769065
84,0.0,0.0,20.983901055944216,39.75326869416223,45735.66015625,1.0,1.0,0.2652072709807528,1.0103367977981546,0.25682451911176757
85,0.0,0.0,10.1115341033902,12.37948459506613,16059.7861328125,1.0,1.0,0.25954935683855335,0.988782340277035,0.2939746602636728
86,0.0,0.0,17.82684152210931,20.95845425989856,26364.97265625,1.0,1.0,0.2629069787674797,1.0015735770155425,0.272558788130071
87,0.0,0.0,15.87166910504379,16.88809866453134,22235.748046875,1.0,1.0,0.2619250176408053,0.9978326861394454,0.2789786098588114
88,0.0,0.0,9.09614555630574,10.46746863715116,14106.0986328125,1.0,1.0,0.2584017103224423,0.9844102523557502,0.3008731543889395
89,0.0,0.0,13.894674929322388,13.678810069800187,18380.91015625,1.0,1.0,0.2606308614766381,0.9929024533071401,0.28720258349959404
90,0.0,0.0,15.696024553577208,12.822717737927936,18461.5234375,1.0,1.0,0.2606770416892045,0.9930783819983613,0.28684638156335013
91,0.0,0.0,12.249528211063428,23.43961980595894,27695.41796875,1.0,1.0,0.26314462887474627,1.0024789317122074,0.2710760211689532
92,0.0,0.0,19.312949688618875,40.62755804481505,46877.00390625,1.0,1.0,0.26528337695616583,1.0106267320341495,0.25629459401558957
93,0.0,0.0,16.30556036858712,31.93421581709485,36718.37109375,1.0,1.0,0.2644199085671663,1.0073372525115272,0.2623698186522024
94,0.0,0.0,15.685505173610794,19.78618328678341,25033.3671875,1.0,1.0,0.26261896345001884,1.0004763504105398,0.27448523586893503
95,0.0,0.0,15.832652875253864,25.762184099205328,30668.900390625,1.0,1.0,0.26365047249675055,1.0044059996366743,0.26762950493941406
96,0.0,0.0,22.228638002882487,20.68435417029693,26323.37109375,1.0,1.0,0.26291078064532614,1.0015880606949483,0.272472541534543
97,0.0,0.0,16.971879058002035,24.44935496876329,30045.9453125,1.0,1.0,0.26355837858856224,1.0040551575803778,0.26823081580674785
98,0.0,0.0,16.108623892405912,12.369400148816885,17094.021484375,1.0,1.0,0.2600938856559019,0.9908567837852927,0.2904530581171267
99,0.0,0.0,14.875346387054025,22.23815115780584,27285.796875,1.0,1.0,0.2630772228603297,1.0022221409518857,0.2714785701327382
100,0.0,0.0,18.86578194977789,24.48344066743978,29670.73828125,1.0,1.0,0.26350259147748967,1.0038426303334775,0.2685865653056318
